id,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,deposit,contact,agegroup,email
59,40,technician,single,unknown,no,36520,yes,no,14,may,1028,2,-1,0,unknown,yes,81382341186,Adult,abcdef59@gmail.com
60,57,technician,married,tertiary,no,-1,no,no,14,may,850,2,-1,0,unknown,yes,23675149335,Middle age,abcdef60@gmail.com
61,51,blue-collar,married,secondary,no,71800,yes,no,14,may,927,1,-1,0,unknown,yes,4658962933,Middle age,abcdef61@gmail.com
62,41,blue-collar,divorced,secondary,no,52910,yes,no,14,may,1423,3,-1,0,unknown,yes,50256101330,Middle age,abcdef62@gmail.com
63,41,blue-collar,married,secondary,no,13840,yes,no,15,may,1162,4,-1,0,unknown,yes,46018004042,Middle age,abcdef63@gmail.com
64,52,blue-collar,divorced,primary,no,-191,yes,no,15,may,755,1,-1,0,unknown,yes,3993236564,Middle age,abcdef64@gmail.com
65,59,blue-collar,married,primary,no,3200,yes,no,15,may,695,1,-1,0,unknown,yes,48871034242,Older,abcdef65@gmail.com
66,44,blue-collar,married,unknown,no,1460,yes,no,15,may,483,1,-1,0,unknown,yes,90049479584,Middle age,abcdef66@gmail.com
67,49,unknown,married,primary,no,3410,yes,yes,15,may,520,2,-1,0,unknown,yes,97650965580,Middle age,abcdef67@gmail.com
68,40,services,married,primary,no,-9,yes,no,15,may,920,2,-1,0,unknown,yes,23853335047,Adult,abcdef68@gmail.com
69,41,admin.,married,primary,no,-306,yes,no,15,may,500,1,-1,0,unknown,yes,3134197483,Middle age,abcdef69@gmail.com
70,44,technician,married,tertiary,no,45800,yes,no,15,may,911,2,-1,0,unknown,yes,71324589342,Middle age,abcdef70@gmail.com
71,60,services,single,primary,no,3130,yes,no,15,may,920,2,-1,0,unknown,yes,92889562157,Older,abcdef71@gmail.com
72,29,management,married,tertiary,no,105760,no,no,15,may,1224,2,-1,0,unknown,yes,83358949423,Adult,abcdef72@gmail.com
73,41,retired,divorced,primary,no,-233,yes,no,15,may,1156,2,-1,0,unknown,yes,80780702718,Middle age,abcdef73@gmail.com
74,41,blue-collar,married,primary,no,24530,yes,no,15,may,1052,1,-1,0,unknown,yes,25228088021,Middle age,abcdef74@gmail.com
75,42,technician,single,secondary,no,13640,yes,no,15,may,1867,6,-1,0,unknown,yes,10849598296,Middle age,abcdef75@gmail.com
76,36,services,single,unknown,no,2810,yes,no,16,may,515,1,-1,0,unknown,yes,79723914819,Adult,abcdef76@gmail.com
77,39,technician,married,tertiary,no,940,yes,yes,16,may,813,1,-1,0,unknown,yes,56261030520,Adult,abcdef77@gmail.com
78,31,self-employed,single,tertiary,no,1440,yes,no,16,may,676,1,-1,0,unknown,yes,36086776359,Adult,abcdef78@gmail.com
79,26,blue-collar,married,secondary,no,2460,yes,no,16,may,1143,3,-1,0,unknown,yes,4704254620,Adult,abcdef79@gmail.com
80,31,blue-collar,married,secondary,no,920,yes,no,16,may,688,1,-1,0,unknown,yes,71661891003,Adult,abcdef80@gmail.com
81,29,admin.,single,secondary,no,1630,yes,yes,16,may,803,1,-1,0,unknown,yes,28745069454,Adult,abcdef81@gmail.com
82,37,services,divorced,secondary,no,490,yes,no,16,may,619,2,-1,0,unknown,yes,94179575317,Adult,abcdef82@gmail.com
83,33,blue-collar,single,secondary,no,-416,yes,no,16,may,767,2,-1,0,unknown,yes,19677893880,Adult,abcdef83@gmail.com
84,24,technician,single,secondary,no,4090,yes,no,16,may,912,1,-1,0,unknown,yes,60523384578,Adult,abcdef84@gmail.com
85,50,admin.,divorced,secondary,no,3630,yes,no,16,may,1340,1,-1,0,unknown,yes,70357959252,Middle age,abcdef85@gmail.com
86,27,technician,single,tertiary,no,37060,yes,no,16,may,897,1,-1,0,unknown,yes,17476284518,Adult,abcdef86@gmail.com
87,54,management,single,tertiary,no,43930,yes,no,16,may,1297,3,-1,0,unknown,yes,71151225131,Middle age,abcdef87@gmail.com
88,30,technician,single,secondary,no,8630,yes,no,16,may,1193,5,-1,0,unknown,yes,51050561908,Adult,abcdef88@gmail.com
89,34,blue-collar,married,primary,no,6950,yes,yes,16,may,1064,4,-1,0,unknown,yes,73649531795,Adult,abcdef89@gmail.com
90,37,management,single,secondary,no,7920,yes,no,16,may,1187,4,-1,0,unknown,yes,31752916418,Adult,abcdef90@gmail.com
91,41,admin.,single,secondary,no,10200,yes,no,19,may,882,1,-1,0,unknown,yes,60309036563,Middle age,abcdef91@gmail.com
92,47,blue-collar,married,secondary,no,8630,yes,no,19,may,943,2,-1,0,unknown,yes,51113173044,Middle age,abcdef92@gmail.com
93,31,admin.,married,secondary,no,970,yes,no,19,may,607,1,-1,0,unknown,yes,61919633939,Adult,abcdef93@gmail.com
94,31,blue-collar,married,secondary,no,7540,yes,no,19,may,1022,4,-1,0,unknown,yes,84334162692,Adult,abcdef94@gmail.com
95,43,services,divorced,secondary,no,10400,yes,no,19,may,552,3,-1,0,unknown,yes,54132613460,Middle age,abcdef95@gmail.com
96,37,management,divorced,tertiary,no,1220,yes,no,19,may,1622,2,-1,0,unknown,yes,14724303841,Adult,abcdef96@gmail.com
97,30,technician,single,tertiary,no,8800,yes,yes,19,may,967,6,-1,0,unknown,yes,38852907517,Adult,abcdef97@gmail.com
98,41,technician,married,secondary,no,5010,yes,no,19,may,579,5,-1,0,unknown,yes,927179531,Middle age,abcdef98@gmail.com
99,36,blue-collar,married,secondary,no,44380,yes,no,20,may,446,1,-1,0,unknown,yes,27317685205,Adult,abcdef99@gmail.com
100,35,blue-collar,divorced,secondary,no,0,yes,no,20,may,1205,1,-1,0,unknown,yes,77988834481,Adult,abcdef100@gmail.com
101,29,services,single,secondary,no,2710,yes,no,20,may,1882,2,-1,0,unknown,yes,98011691341,Adult,abcdef101@gmail.com
102,35,blue-collar,married,primary,no,1020,yes,no,20,may,1334,1,-1,0,unknown,yes,45962385378,Adult,abcdef102@gmail.com
103,31,blue-collar,married,secondary,no,20,yes,no,20,may,182,2,-1,0,unknown,yes,76993153164,Adult,abcdef103@gmail.com
104,35,services,married,secondary,no,41700,yes,no,20,may,1777,1,-1,0,unknown,yes,65195838195,Adult,abcdef104@gmail.com
105,34,technician,single,secondary,no,850,yes,no,20,may,1182,4,-1,0,unknown,yes,65738868473,Adult,abcdef105@gmail.com
106,31,admin.,single,secondary,no,4310,yes,yes,20,may,1045,1,-1,0,unknown,yes,34361982776,Adult,abcdef106@gmail.com
107,44,technician,divorced,secondary,no,9820,yes,no,20,may,650,3,-1,0,unknown,yes,8517473562,Middle age,abcdef107@gmail.com
108,36,blue-collar,married,primary,no,4080,yes,yes,20,may,1063,2,-1,0,unknown,yes,72718095856,Adult,abcdef108@gmail.com
109,35,blue-collar,married,unknown,no,48220,yes,no,20,may,843,2,-1,0,unknown,yes,61872539074,Adult,abcdef109@gmail.com
110,41,blue-collar,married,primary,no,12500,yes,no,20,may,1392,2,-1,0,unknown,yes,57031618694,Middle age,abcdef110@gmail.com
111,31,blue-collar,single,primary,no,2160,yes,no,21,may,565,1,-1,0,unknown,yes,36575286786,Adult,abcdef111@gmail.com
112,34,blue-collar,married,secondary,no,12070,yes,no,21,may,905,1,-1,0,unknown,yes,12820051951,Adult,abcdef112@gmail.com
113,32,technician,married,secondary,no,7910,yes,no,21,may,783,2,-1,0,unknown,yes,99791208289,Adult,abcdef113@gmail.com
114,36,management,married,tertiary,no,8490,yes,yes,21,may,958,2,-1,0,unknown,yes,79126769960,Adult,abcdef114@gmail.com
115,30,blue-collar,single,secondary,yes,2390,yes,no,21,may,412,1,-1,0,unknown,yes,65278395407,Adult,abcdef115@gmail.com
116,37,technician,single,secondary,no,12110,yes,no,21,may,795,1,-1,0,unknown,yes,78209520895,Adult,abcdef116@gmail.com
117,36,blue-collar,married,primary,no,5990,yes,no,21,may,649,2,-1,0,unknown,yes,94418791788,Adult,abcdef117@gmail.com
118,31,management,single,tertiary,no,8250,yes,no,21,may,506,2,-1,0,unknown,yes,16540743991,Adult,abcdef118@gmail.com
119,27,technician,married,secondary,no,21830,yes,yes,21,may,857,1,-1,0,unknown,yes,32952721723,Adult,abcdef119@gmail.com
120,34,retired,married,primary,no,44990,no,no,21,may,1681,1,-1,0,unknown,yes,76298320773,Adult,abcdef120@gmail.com
121,30,technician,single,tertiary,no,12890,yes,no,21,may,1697,2,-1,0,unknown,yes,23713442223,Adult,abcdef121@gmail.com
122,32,technician,single,tertiary,no,46650,yes,no,21,may,860,2,-1,0,unknown,yes,83045480925,Adult,abcdef122@gmail.com
123,37,technician,single,secondary,no,33260,yes,no,21,may,799,1,-1,0,unknown,yes,15701183652,Adult,abcdef123@gmail.com
124,32,blue-collar,married,secondary,no,7830,yes,no,21,may,923,3,-1,0,unknown,yes,59045394301,Adult,abcdef124@gmail.com
125,33,blue-collar,married,secondary,no,0,yes,no,21,may,521,3,-1,0,unknown,yes,8839635496,Adult,abcdef125@gmail.com
126,35,blue-collar,married,primary,no,9940,yes,no,23,may,1349,8,-1,0,unknown,yes,17669487368,Adult,abcdef126@gmail.com
127,35,self-employed,divorced,tertiary,no,13540,yes,no,23,may,736,2,-1,0,unknown,yes,55975149473,Adult,abcdef127@gmail.com
128,30,blue-collar,single,secondary,no,2390,yes,no,23,may,785,1,-1,0,unknown,yes,97753518723,Adult,abcdef128@gmail.com
129,45,blue-collar,divorced,primary,no,-311,yes,no,23,may,1030,1,-1,0,unknown,yes,26292921130,Middle age,abcdef129@gmail.com
130,45,admin.,married,secondary,no,1490,yes,no,23,may,893,3,-1,0,unknown,yes,94983702269,Middle age,abcdef130@gmail.com
131,33,blue-collar,married,secondary,no,14640,yes,no,23,may,588,3,-1,0,unknown,yes,61858394426,Adult,abcdef131@gmail.com
132,44,management,divorced,tertiary,no,57730,no,no,23,may,597,6,-1,0,unknown,yes,70136215884,Middle age,abcdef132@gmail.com
133,40,blue-collar,married,primary,no,2780,yes,no,23,may,1015,3,-1,0,unknown,yes,81585964243,Adult,abcdef133@gmail.com
134,31,blue-collar,married,secondary,no,29100,yes,no,23,may,1392,2,-1,0,unknown,yes,85224709405,Adult,abcdef134@gmail.com
135,30,technician,married,tertiary,no,5410,yes,no,26,may,414,2,-1,0,unknown,yes,89816490580,Adult,abcdef135@gmail.com
136,44,technician,divorced,secondary,no,12620,yes,no,26,may,788,11,-1,0,unknown,yes,37168543404,Middle age,abcdef136@gmail.com
137,34,services,married,secondary,no,-538,yes,no,26,may,682,1,-1,0,unknown,yes,46351874120,Adult,abcdef137@gmail.com
138,37,blue-collar,married,secondary,no,1250,no,no,26,may,679,2,-1,0,unknown,yes,84795491512,Adult,abcdef138@gmail.com
139,28,self-employed,single,tertiary,no,0,yes,no,26,may,1560,2,-1,0,unknown,yes,32595493529,Adult,abcdef139@gmail.com
140,32,admin.,single,secondary,no,6200,yes,no,26,may,1234,3,-1,0,unknown,yes,55325767965,Adult,abcdef140@gmail.com
141,37,blue-collar,divorced,secondary,no,3160,yes,no,26,may,642,2,-1,0,unknown,yes,26452739197,Adult,abcdef141@gmail.com
142,34,management,married,tertiary,no,22870,yes,no,26,may,895,4,-1,0,unknown,yes,51067856107,Adult,abcdef142@gmail.com
143,38,admin.,divorced,secondary,no,1980,yes,no,26,may,431,2,-1,0,unknown,yes,72851315061,Adult,abcdef143@gmail.com
144,28,admin.,single,secondary,no,4600,yes,no,26,may,741,6,-1,0,unknown,yes,59785431475,Adult,abcdef144@gmail.com
145,31,management,divorced,tertiary,no,11450,yes,no,26,may,1272,4,-1,0,unknown,yes,29872368393,Adult,abcdef145@gmail.com
146,59,services,married,secondary,no,-22,yes,no,26,may,748,3,-1,0,unknown,yes,27192931217,Older,abcdef146@gmail.com
147,24,blue-collar,married,secondary,no,6850,yes,no,26,may,896,3,-1,0,unknown,yes,77383501553,Adult,abcdef147@gmail.com
148,26,services,single,secondary,no,9010,yes,no,26,may,764,2,-1,0,unknown,yes,63010761793,Adult,abcdef148@gmail.com
149,59,retired,single,secondary,no,3510,yes,no,27,may,1063,5,-1,0,unknown,yes,56940395484,Older,abcdef149@gmail.com
150,30,entrepreneur,single,primary,no,0,yes,yes,27,may,1051,1,-1,0,unknown,yes,52593559924,Adult,abcdef150@gmail.com
151,37,admin.,married,secondary,no,2740,yes,no,27,may,731,3,-1,0,unknown,yes,66475992267,Adult,abcdef151@gmail.com
152,30,admin.,single,secondary,no,-213,yes,yes,27,may,751,1,-1,0,unknown,yes,28217816348,Adult,abcdef152@gmail.com
153,25,blue-collar,married,secondary,no,970,yes,no,27,may,709,1,-1,0,unknown,yes,52045013666,Adult,abcdef153@gmail.com
154,44,services,divorced,secondary,no,510,yes,yes,27,may,3094,2,-1,0,unknown,yes,58787704587,Middle age,abcdef154@gmail.com
155,29,management,married,tertiary,no,3140,no,no,28,may,938,2,-1,0,unknown,yes,11371063750,Adult,abcdef155@gmail.com
156,26,management,single,tertiary,no,68400,yes,no,28,may,1560,2,-1,0,unknown,yes,97940457091,Adult,abcdef156@gmail.com
157,26,technician,single,secondary,no,6680,yes,no,28,may,576,3,-1,0,unknown,yes,76065495005,Adult,abcdef157@gmail.com
158,27,services,single,secondary,no,540,yes,no,28,may,543,2,-1,0,unknown,yes,40860530701,Adult,abcdef158@gmail.com
159,25,self-employed,single,secondary,no,12420,yes,no,28,may,615,2,-1,0,unknown,yes,17723824017,Adult,abcdef159@gmail.com
160,28,management,married,secondary,no,2920,yes,no,28,may,507,1,-1,0,unknown,yes,44948332398,Adult,abcdef160@gmail.com
161,23,services,single,secondary,no,6650,yes,no,28,may,1183,1,-1,0,unknown,yes,5118376043,Adult,abcdef161@gmail.com
162,34,management,single,tertiary,no,10580,yes,no,28,may,864,2,-1,0,unknown,yes,10571545233,Adult,abcdef162@gmail.com
163,28,student,single,secondary,no,9490,yes,no,28,may,1730,1,-1,0,unknown,yes,63063711841,Adult,abcdef163@gmail.com
164,51,entrepreneur,married,unknown,no,6060,yes,no,28,may,560,9,-1,0,unknown,yes,30488527539,Middle age,abcdef164@gmail.com
165,35,blue-collar,married,secondary,no,0,yes,yes,29,may,543,1,-1,0,unknown,yes,96904001056,Adult,abcdef165@gmail.com
166,35,admin.,married,secondary,no,4040,yes,no,29,may,539,1,-1,0,unknown,yes,65535932506,Adult,abcdef166@gmail.com
167,56,blue-collar,married,secondary,no,2490,yes,no,29,may,791,2,-1,0,unknown,yes,99729343621,Middle age,abcdef167@gmail.com
168,45,unemployed,divorced,secondary,no,33540,yes,no,29,may,746,1,-1,0,unknown,yes,86575586159,Middle age,abcdef168@gmail.com
169,60,blue-collar,divorced,secondary,no,0,yes,no,29,may,1207,1,-1,0,unknown,yes,96975548912,Older,abcdef169@gmail.com
170,56,technician,married,secondary,no,5890,yes,no,29,may,535,2,-1,0,unknown,yes,85456442716,Middle age,abcdef170@gmail.com
171,27,management,single,tertiary,no,129560,yes,no,29,may,789,3,-1,0,unknown,yes,88834507255,Adult,abcdef171@gmail.com
172,30,admin.,married,secondary,no,8730,yes,no,29,may,792,3,-1,0,unknown,yes,62289179399,Adult,abcdef172@gmail.com
173,45,blue-collar,divorced,primary,no,5940,yes,no,29,may,833,2,-1,0,unknown,yes,45128095791,Middle age,abcdef173@gmail.com
174,29,blue-collar,single,secondary,no,-20,yes,no,29,may,814,2,-1,0,unknown,yes,44521901711,Adult,abcdef174@gmail.com
175,38,management,divorced,tertiary,no,46920,yes,no,29,may,1363,2,-1,0,unknown,yes,69943695117,Adult,abcdef175@gmail.com
176,30,blue-collar,married,secondary,no,4860,yes,no,29,may,1109,3,-1,0,unknown,yes,14949876576,Adult,abcdef176@gmail.com
177,44,blue-collar,single,primary,no,15930,yes,no,29,may,828,3,-1,0,unknown,yes,69600226640,Middle age,abcdef177@gmail.com
178,36,management,single,tertiary,no,76060,yes,no,30,may,917,1,-1,0,unknown,yes,9972768152,Adult,abcdef178@gmail.com
179,38,technician,married,secondary,no,2260,yes,no,30,may,762,3,-1,0,unknown,yes,98633492431,Adult,abcdef179@gmail.com
180,36,blue-collar,single,secondary,no,3660,yes,yes,30,may,1133,2,-1,0,unknown,yes,45282668890,Adult,abcdef180@gmail.com
181,37,management,divorced,secondary,no,160,yes,no,30,may,638,1,-1,0,unknown,yes,52377375263,Adult,abcdef181@gmail.com
182,35,management,single,tertiary,no,5650,yes,no,30,may,763,1,-1,0,unknown,yes,48753474835,Adult,abcdef182@gmail.com
183,38,admin.,divorced,secondary,no,190,yes,no,30,may,604,2,-1,0,unknown,yes,25930812536,Adult,abcdef183@gmail.com
184,40,services,married,primary,no,10820,yes,no,30,may,854,2,-1,0,unknown,yes,21503113855,Adult,abcdef184@gmail.com
185,42,unemployed,divorced,secondary,no,17130,yes,no,30,may,855,2,-1,0,unknown,yes,87568600861,Middle age,abcdef185@gmail.com
186,46,management,divorced,tertiary,no,144810,yes,no,30,may,1269,1,-1,0,unknown,yes,65051323968,Middle age,abcdef186@gmail.com
187,35,technician,divorced,secondary,no,57240,yes,no,30,may,691,10,-1,0,unknown,yes,69345706827,Adult,abcdef187@gmail.com
188,34,technician,divorced,secondary,no,14510,yes,no,30,may,1097,15,-1,0,unknown,yes,80547375106,Adult,abcdef188@gmail.com
189,32,services,married,secondary,no,-34,yes,no,30,may,1236,2,-1,0,unknown,yes,37068621501,Adult,abcdef189@gmail.com
190,50,unemployed,married,secondary,no,36740,yes,no,30,may,886,3,-1,0,unknown,yes,63378590524,Middle age,abcdef190@gmail.com
191,35,blue-collar,married,secondary,no,6980,yes,yes,30,may,1343,3,-1,0,unknown,yes,66110168122,Adult,abcdef191@gmail.com
192,36,technician,single,secondary,no,41360,yes,no,30,may,812,3,-1,0,unknown,yes,74918531832,Adult,abcdef192@gmail.com
193,53,blue-collar,divorced,primary,no,26560,yes,no,30,may,1980,2,-1,0,unknown,yes,15028815585,Middle age,abcdef193@gmail.com
194,46,management,single,tertiary,no,29040,yes,no,30,may,984,2,-1,0,unknown,yes,73316645080,Middle age,abcdef194@gmail.com
195,26,management,single,tertiary,no,10040,yes,no,30,may,228,2,-1,0,unknown,yes,30449062207,Adult,abcdef195@gmail.com
196,45,technician,single,secondary,no,4100,yes,no,30,may,891,4,-1,0,unknown,yes,86255525192,Middle age,abcdef196@gmail.com
197,31,unemployed,divorced,primary,no,0,yes,no,30,may,745,12,-1,0,unknown,yes,12429906282,Adult,abcdef197@gmail.com
198,29,management,single,tertiary,no,0,yes,no,30,may,539,12,-1,0,unknown,yes,24381116623,Adult,abcdef198@gmail.com
199,53,entrepreneur,single,secondary,no,620,yes,no,30,may,1044,5,-1,0,unknown,yes,84994166396,Middle age,abcdef199@gmail.com
200,27,blue-collar,married,primary,no,4160,yes,no,30,may,1193,2,-1,0,unknown,yes,49871672522,Adult,abcdef200@gmail.com
201,39,management,married,tertiary,no,27630,yes,no,2,jun,526,2,-1,0,unknown,yes,18025171186,Adult,abcdef201@gmail.com
202,36,services,married,secondary,no,29840,yes,no,2,jun,394,1,-1,0,unknown,yes,45825209955,Adult,abcdef202@gmail.com
203,41,blue-collar,married,primary,no,1430,yes,yes,2,jun,659,2,-1,0,unknown,yes,73878177087,Middle age,abcdef203@gmail.com
204,36,services,married,primary,no,0,yes,no,2,jun,1036,1,-1,0,unknown,yes,98040059933,Adult,abcdef204@gmail.com
205,32,technician,married,secondary,no,6960,yes,no,2,jun,815,1,-1,0,unknown,yes,42145552593,Adult,abcdef205@gmail.com
206,35,services,married,secondary,no,1520,yes,no,2,jun,563,1,-1,0,unknown,yes,55825359463,Adult,abcdef206@gmail.com
207,36,management,single,tertiary,no,-78,yes,no,2,jun,1068,1,-1,0,unknown,yes,65642878926,Adult,abcdef207@gmail.com
208,35,management,married,tertiary,no,8670,yes,no,2,jun,230,3,-1,0,unknown,yes,22568153374,Adult,abcdef208@gmail.com
209,30,blue-collar,single,secondary,no,9530,yes,no,2,jun,747,2,-1,0,unknown,yes,60761432559,Adult,abcdef209@gmail.com
210,42,blue-collar,married,secondary,no,4430,yes,no,2,jun,671,5,-1,0,unknown,yes,76016722284,Middle age,abcdef210@gmail.com
